Location,Indicator Rate Value,Rank,County,Period of Measure
6081612900,0.7,1,San Mateo,2025
6081613900,0.7,1,San Mateo,2025
6081604700,0.6,1,San Mateo,2025
6081609603,0.6,1,San Mateo,2025
6081610202,0.6,1,San Mateo,2025
6081612700,0.6,1,San Mateo,2025
6081605600,0.5,1,San Mateo,2025
6081608001,0.5,1,San Mateo,2025
6081609500,0.5,1,San Mateo,2025
6081609900,0.5,1,San Mateo,2025
6081607500,0.4,1,San Mateo,2025
6081608002,0.4,1,San Mateo,2025
6081611100,0.4,1,San Mateo,2025
6081611200,0.4,1,San Mateo,2025
6081612800,0.4,1,San Mateo,2025
6081613000,0.4,1,San Mateo,2025
6081607100,0.3,1,San Mateo,2025
6081607300,0.3,1,San Mateo,2025
6081608023,0.3,1,San Mateo,2025
6081608100,0.3,1,San Mateo,2025
6081608700,0.3,1,San Mateo,2025
6081609300,0.3,1,San Mateo,2025
6081605700,0.2,1,San Mateo,2025
6081606500,0.2,1,San Mateo,2025
6081606600,0.2,1,San Mateo,2025
6081609400,0.2,1,San Mateo,2025
6081611400,0.2,1,San Mateo,2025
6081613300,0.2,1,San Mateo,2025
6081608800,0.1,1,San Mateo,2025
6081609602,0.1,1,San Mateo,2025
6081609700,0.1,1,San Mateo,2025
6081611500,0.1,1,San Mateo,2025
